Week,public_road_mileage
1994-06-27,3905876.3846153845
1994-07-04,3905903.0
1994-07-11,3905929.6153846155
1994-07-18,3905956.230769231
1994-07-25,3905982.846153846
1994-08-01,3906009.4615384615
1994-08-08,3906036.076923077
1994-08-15,3906062.6923076925
1994-08-22,3906089.3076923075
1994-08-29,3906115.923076923
1994-09-05,3906142.5384615385
1994-09-12,3906169.153846154
1994-09-19,3906195.769230769
1994-09-26,3906222.3846153845
1994-10-03,3906249.0
1994-10-10,3906275.6153846155
1994-10-17,3906302.230769231
1994-10-24,3906328.846153846
1994-10-31,3906355.4615384615
1994-11-07,3906382.076923077
1994-11-14,3906408.6923076925
1994-11-21,3906435.3076923075
1994-11-28,3906461.923076923
1994-12-05,3906488.5384615385
1994-12-12,3906515.153846154
1994-12-19,3906541.769230769
1994-12-26,3906568.3846153845
1995-01-02,3906595.0
1995-01-09,3906705.5576923075
1995-01-16,3906816.1153846155
1995-01-23,3906926.673076923
1995-01-30,3907037.230769231
1995-02-06,3907147.7884615385
1995-02-13,3907258.346153846
1995-02-20,3907368.903846154
1995-02-27,3907479.4615384615
1995-03-06,3907590.019230769
1995-03-13,3907700.576923077
1995-03-20,3907811.1346153845
1995-03-27,3907921.6923076925
1995-04-03,3908032.25
1995-04-10,3908142.8076923075
1995-04-17,3908253.3653846155
1995-04-24,3908363.923076923
1995-05-01,3908474.480769231
1995-05-08,3908585.0384615385
1995-05-15,3908695.596153846
1995-05-22,3908806.153846154
1995-05-29,3908916.7115384615
1995-06-05,3909027.269230769
1995-06-12,3909137.826923077
1995-06-19,3909248.3846153845
1995-06-26,3909358.9423076925
1995-07-03,3909469.5
1995-07-10,3909580.0576923075
1995-07-17,3909690.6153846155
1995-07-24,3909801.173076923
1995-07-31,3909911.730769231
1995-08-07,3910022.2884615385
1995-08-14,3910132.846153846
1995-08-21,3910243.403846154
1995-08-28,3910353.9615384615
1995-09-04,3910464.519230769
1995-09-11,3910575.076923077
1995-09-18,3910685.6346153845
1995-09-25,3910796.1923076925
1995-10-02,3910906.75
1995-10-09,3911017.3076923075
1995-10-16,3911127.8653846155
1995-10-23,3911238.423076923
1995-10-30,3911348.980769231
1995-11-06,3911459.5384615385
1995-11-13,3911570.096153846
1995-11-20,3911680.653846154
1995-11-27,3911791.2115384615
1995-12-04,3911901.769230769
1995-12-11,3912012.326923077
1995-12-18,3912122.8846153845
1995-12-25,3912233.4423076925
1996-01-01,3912344.0
1996-01-08,3912757.5849056602
1996-01-15,3913171.169811321
1996-01-22,3913584.754716981
1996-01-29,3913998.3396226414
1996-02-05,3914411.9245283017
1996-02-12,3914825.5094339624
1996-02-19,3915239.0943396227
1996-02-26,3915652.679245283
1996-03-04,3916066.2641509436
1996-03-11,3916479.849056604
1996-03-18,3916893.433962264
1996-03-25,3917307.0188679243
1996-04-01,3917720.603773585
1996-04-08,3918134.1886792453
1996-04-15,3918547.7735849055
1996-04-22,3918961.3584905663
1996-04-29,3919374.9433962265
1996-05-06,3919788.5283018867
1996-05-13,3920202.113207547
1996-05-20,3920615.6981132077
1996-05-27,3921029.283018868
1996-06-03,3921442.867924528
1996-06-10,3921856.452830189
1996-06-17,3922270.037735849
1996-06-24,3922683.6226415094
1996-07-01,3923097.2075471696
1996-07-08,3923510.7924528304
1996-07-15,3923924.3773584906
1996-07-22,3924337.962264151
1996-07-29,3924751.547169811
1996-08-05,3925165.132075472
1996-08-12,3925578.716981132
1996-08-19,3925992.3018867923
1996-08-26,3926405.886792453
1996-09-02,3926819.4716981133
1996-09-09,3927233.0566037735
1996-09-16,3927646.6415094337
1996-09-23,3928060.2264150945
1996-09-30,3928473.8113207547
1996-10-07,3928887.396226415
1996-10-14,3929300.9811320757
1996-10-21,3929714.566037736
1996-10-28,3930128.150943396
1996-11-04,3930541.7358490564
1996-11-11,3930955.320754717
1996-11-18,3931368.9056603773
1996-11-25,3931782.4905660376
1996-12-02,3932196.0754716983
1996-12-09,3932609.6603773586
1996-12-16,3933023.245283019
1996-12-23,3933436.830188679
1996-12-30,3933850.4150943398
1997-01-07,3934264.0
1997-01-14,3934768.5384615385
1997-01-21,3935273.076923077
1997-01-28,3935777.6153846155
1997-02-04,3936282.153846154
1997-02-11,3936786.6923076925
1997-02-18,3937291.230769231
1997-02-25,3937795.769230769
1997-03-04,3938300.3076923075
1997-03-11,3938804.846153846
1997-03-18,3939309.3846153845
1997-03-25,3939813.923076923
1997-04-01,3940318.4615384615
1997-04-08,3940823.0
1997-04-15,3941327.5384615385
1997-04-22,3941832.076923077
1997-04-29,3942336.6153846155
1997-05-06,3942841.153846154
1997-05-13,3943345.6923076925
1997-05-20,3943850.230769231
1997-05-27,3944354.769230769
1997-06-03,3944859.3076923075
1997-06-10,3945363.846153846
1997-06-17,3945868.3846153845
1997-06-24,3946372.923076923
1997-07-01,3946877.4615384615
1997-07-08,3947382.0
1997-07-15,3947886.5384615385
1997-07-22,3948391.076923077
1997-07-29,3948895.6153846155
1997-08-05,3949400.153846154
1997-08-12,3949904.6923076925
1997-08-19,3950409.230769231
1997-08-26,3950913.769230769
1997-09-02,3951418.3076923075
1997-09-09,3951922.846153846
1997-09-16,3952427.3846153845
1997-09-23,3952931.923076923
1997-09-30,3953436.4615384615
1997-10-07,3953941.0
1997-10-14,3954445.5384615385
1997-10-21,3954950.076923077
1997-10-28,3955454.6153846155
1997-11-04,3955959.153846154
1997-11-11,3956463.6923076925
1997-11-18,3956968.230769231
1997-11-25,3957472.769230769
1997-12-02,3957977.3076923075
1997-12-09,3958481.846153846
1997-12-16,3958986.3846153845
1997-12-23,3959490.923076923
1997-12-30,3959995.4615384615
1998-01-05,3960500.0
1998-01-12,3959739.769230769
1998-01-19,3958979.5384615385
1998-01-26,3958219.3076923075
1998-02-02,3957459.076923077
1998-02-09,3956698.846153846
1998-02-16,3955938.6153846155
1998-02-23,3955178.3846153845
1998-03-02,3954418.153846154
1998-03-09,3953657.923076923
1998-03-16,3952897.6923076925
1998-03-23,3952137.4615384615
1998-03-30,3951377.230769231
1998-04-06,3950617.0
1998-04-13,3949856.769230769
1998-04-20,3949096.5384615385
1998-04-27,3948336.3076923075
1998-05-04,3947576.076923077
1998-05-11,3946815.846153846
1998-05-18,3946055.6153846155
1998-05-25,3945295.3846153845
1998-06-01,3944535.153846154
1998-06-08,3943774.923076923
1998-06-15,3943014.6923076925
1998-06-22,3942254.4615384615
1998-06-29,3941494.230769231
1998-07-06,3940734.0
1998-07-13,3939973.769230769
1998-07-20,3939213.5384615385
1998-07-27,3938453.3076923075
1998-08-03,3937693.076923077
1998-08-10,3936932.846153846
1998-08-17,3936172.6153846155
1998-08-24,3935412.3846153845
1998-08-31,3934652.153846154
1998-09-07,3933891.923076923
1998-09-14,3933131.6923076925
1998-09-21,3932371.4615384615
1998-09-28,3931611.230769231
1998-10-05,3930851.0
1998-10-12,3930090.769230769
1998-10-19,3929330.5384615385
1998-10-26,3928570.3076923075
1998-11-02,3927810.076923077
1998-11-09,3927049.846153846
1998-11-16,3926289.6153846155
1998-11-23,3925529.3846153845
1998-11-30,3924769.153846154
1998-12-07,3924008.923076923
1998-12-14,3923248.6923076925
1998-12-21,3922488.4615384615
