Weekly,USMexAdjClose
2009-10-05,13.27540016
2009-10-12,13.10289955
2009-10-19,13.05020046
2009-10-26,13.24370003
2009-11-02,13.42479992
2009-11-09,13.02350044
2009-11-16,13.06309986
2009-11-23,12.88949966
2009-11-30,12.64029980
2009-12-07,12.88599968
2009-12-14,12.84879971
2009-12-21,12.86699963
2009-12-28,13.08269978
2010-01-04,12.67399979
2010-01-11,12.72200012
2010-01-18,12.94250011
2010-01-25,13.06849957
2010-02-01,13.16199970
2010-02-08,12.92395020
2010-02-15,12.78400040
2010-02-22,12.75953960
2010-03-01,12.61149979
2010-03-08,12.54819965
2010-03-15,12.56180000
2010-03-22,12.48799992
2010-03-29,12.28719997
2010-04-05,12.18840027
2010-04-12,12.27350044
2010-04-19,12.17150021
2010-04-26,12.29304981
2010-05-03,12.72570038
2010-05-10,12.54349995
2010-05-17,12.94869995
2010-05-24,12.92539978
2010-05-31,12.94610023
2010-06-07,12.64789963
2010-06-14,12.46819973
2010-06-21,12.65019989
2010-06-28,13.04020023
2010-07-05,12.76210022
2010-07-12,12.89610004
2010-07-19,12.71749973
2010-07-26,12.62979984
2010-08-02,12.68480015
2010-08-09,12.72900009
2010-08-16,12.75500011
2010-08-23,13.03199959
2010-08-30,12.93500042
2010-09-06,12.92099953
2010-09-13,12.77900028
2010-09-20,12.55099964
2010-09-27,12.53299999
2010-10-04,12.40699959
2010-10-11,12.43099976
2010-10-18,12.34500027
2010-10-25,12.34200001
2010-11-01,12.19799995
2010-11-08,12.33699989
2010-11-15,12.26200008
2010-11-22,12.47840023
2010-11-29,12.32999992
2010-12-06,12.44349957
2010-12-13,12.40699959
2010-12-20,12.35490036
2010-12-27,12.33160019
2011-01-03,12.22999954
2011-01-10,12.03400040
2011-01-17,12.05399990
2011-01-24,12.20100021
2011-01-31,11.97399998
2011-02-07,12.02299976
2011-02-14,12.02600002
2011-02-21,12.11600018
2011-02-28,12.00000000
2011-03-07,11.91199970
2011-03-14,12.03999996
2011-03-21,11.98900032
2011-03-28,11.83399963
2011-04-04,11.72299957
2011-04-11,11.65100002
2011-04-18,11.58899975
2011-04-25,11.49300003
2011-05-02,11.61499977
2011-05-09,11.73299980
2011-05-16,11.63599968
2011-05-23,11.60000038
2011-05-30,11.65999985
2011-06-06,11.89299965
2011-06-13,11.90400028
2011-06-20,11.89900017
2011-06-27,11.61600018
2011-07-04,11.62100029
2011-07-11,11.71800041
2011-07-18,11.64799976
2011-07-25,11.68599987
2011-08-01,12.07190037
2011-08-08,12.28590012
2011-08-15,12.28899956
2011-08-22,12.44040012
2011-08-29,12.41219997
2011-09-05,12.70199966
2011-09-12,13.06929970
2011-09-19,13.58199978
2011-09-26,13.90699959
2011-10-03,13.43799973
2011-10-10,13.25699997
2011-10-17,13.65900040
2011-10-24,13.03649998
2011-10-31,13.42899990
2011-11-07,13.43500042
2011-11-14,13.74499989
2011-11-21,14.14500046
2011-11-28,13.50800037
2011-12-05,13.57999992
2011-12-12,13.80480003
2011-12-19,13.84599972
2011-12-26,13.94099998
2012-01-02,13.74499989
2012-01-09,13.60299969
2012-01-16,13.17899990
2012-01-23,12.90970039
2012-01-30,12.67899990
2012-02-06,12.72329998
2012-02-13,12.69359970
2012-02-20,12.89500046
2012-02-27,12.75370026
2012-03-05,12.65400028
2012-03-12,12.64799976
2012-03-19,12.74919987
2012-03-26,12.76500034
2012-04-02,13.01659966
2012-04-09,13.17899990
2012-04-16,13.10599995
2012-04-23,12.95269966
2012-04-30,13.29059982
2012-05-07,13.56260014
2012-05-14,13.84700012
2012-05-21,13.99100018
2012-05-28,14.29349995
2012-06-04,13.84329987
2012-06-11,13.81890011
2012-06-18,13.82800007
2012-06-25,13.25660038
2012-07-02,13.40970039
2012-07-09,13.29189968
2012-07-16,13.35120010
2012-07-23,13.22379971
2012-07-30,13.10680008
2012-08-06,13.09360027
2012-08-13,13.13210011
2012-08-20,13.17210007
2012-08-27,13.20330048
2012-09-03,12.96360016
2012-09-10,12.72019958
2012-09-17,12.85400009
2012-09-24,12.86149979
2012-10-01,12.78069973
2012-10-08,12.86130047
2012-10-15,12.87759972
2012-10-22,13.02120018
2012-10-29,13.02560043
2012-11-05,13.18939972
2012-11-12,13.11550045
2012-11-19,12.96889973
2012-11-26,12.94600010
2012-12-03,12.82919979
2012-12-10,12.74349976
2012-12-17,12.94079971
2012-12-24,13.01949978
2012-12-31,12.72579956
2013-01-07,12.64159966
2013-01-14,12.65460014
2013-01-21,12.66829967
2013-01-28,12.60499954
2013-02-04,12.72589970
2013-02-11,12.68620014
2013-02-18,12.70769978
2013-02-25,12.74489975
2013-03-04,12.62370014
2013-03-11,12.50349998
2013-03-18,12.33679962
2013-03-25,12.32330036
2013-04-01,12.19079971
