Week,urban_pop
1984-09-03,174712973.8846154
1984-09-10,174748783.53846154
1984-09-17,174784593.19230768
1984-09-24,174820402.84615386
1984-10-01,174856212.5
1984-10-08,174892022.15384614
1984-10-15,174927831.80769232
1984-10-22,174963641.46153846
1984-10-29,174999451.1153846
1984-11-05,175035260.76923078
1984-11-12,175071070.42307693
1984-11-19,175106880.07692307
1984-11-26,175142689.73076922
1984-12-03,175178499.3846154
1984-12-10,175214309.03846154
1984-12-17,175250118.69230768
1984-12-24,175285928.34615386
1985-01-01,175321738.0
1985-01-08,175357914.73584905
1985-01-15,175394091.4716981
1985-01-22,175430268.20754716
1985-01-29,175466444.94339624
1985-02-05,175502621.6792453
1985-02-12,175538798.41509435
1985-02-19,175574975.1509434
1985-02-26,175611151.88679245
1985-03-05,175647328.6226415
1985-03-12,175683505.35849056
1985-03-19,175719682.0943396
1985-03-26,175755858.8301887
1985-04-02,175792035.56603774
1985-04-09,175828212.3018868
1985-04-16,175864389.03773585
1985-04-23,175900565.7735849
1985-04-30,175936742.50943395
1985-05-07,175972919.245283
1985-05-14,176009095.9811321
1985-05-21,176045272.71698114
1985-05-28,176081449.4528302
1985-06-04,176117626.18867925
1985-06-11,176153802.9245283
1985-06-18,176189979.66037735
1985-06-25,176226156.3962264
1985-07-02,176262333.13207546
1985-07-09,176298509.86792454
1985-07-16,176334686.6037736
1985-07-23,176370863.33962265
1985-07-30,176407040.0754717
1985-08-06,176443216.81132075
1985-08-13,176479393.5471698
1985-08-20,176515570.28301886
1985-08-27,176551747.0188679
1985-09-03,176587923.754717
1985-09-10,176624100.49056605
1985-09-17,176660277.2264151
1985-09-24,176696453.96226415
1985-10-01,176732630.6981132
1985-10-08,176768807.43396226
1985-10-15,176804984.1698113
1985-10-22,176841160.9056604
1985-10-29,176877337.64150944
1985-11-05,176913514.3773585
1985-11-12,176949691.11320755
1985-11-19,176985867.8490566
1985-11-26,177022044.58490565
1985-12-03,177058221.3207547
1985-12-10,177094398.05660376
1985-12-17,177130574.79245284
1985-12-24,177166751.5283019
1985-12-31,177202928.26415095
1986-01-06,177239105.0
1986-01-13,177277677.53846154
1986-01-20,177316250.07692307
1986-01-27,177354822.6153846
1986-02-03,177393395.15384614
1986-02-10,177431967.69230768
1986-02-17,177470540.23076922
1986-02-24,177509112.76923078
1986-03-03,177547685.30769232
1986-03-10,177586257.84615386
1986-03-17,177624830.3846154
1986-03-24,177663402.92307693
1986-03-31,177701975.46153846
1986-04-07,177740548.0
1986-04-14,177779120.53846154
1986-04-21,177817693.07692307
1986-04-28,177856265.6153846
1986-05-05,177894838.15384614
1986-05-12,177933410.69230768
1986-05-19,177971983.23076922
1986-05-26,178010555.76923078
1986-06-02,178049128.30769232
1986-06-09,178087700.84615386
1986-06-16,178126273.3846154
1986-06-23,178164845.92307693
1986-06-30,178203418.46153846
1986-07-07,178241991.0
1986-07-14,178280563.53846154
1986-07-21,178319136.07692307
1986-07-28,178357708.6153846
1986-08-04,178396281.15384614
1986-08-11,178434853.69230768
1986-08-18,178473426.23076922
1986-08-25,178511998.76923078
1986-09-01,178550571.30769232
1986-09-08,178589143.84615386
1986-09-15,178627716.3846154
1986-09-22,178666288.92307693
1986-09-29,178704861.46153846
1986-10-06,178743434.0
1986-10-13,178782006.53846154
1986-10-20,178820579.07692307
1986-10-27,178859151.6153846
1986-11-03,178897724.15384614
1986-11-10,178936296.69230768
1986-11-17,178974869.23076922
1986-11-24,179013441.76923078
1986-12-01,179052014.30769232
1986-12-08,179090586.84615386
1986-12-15,179129159.3846154
1986-12-22,179167731.92307693
1986-12-29,179206304.46153846
1987-01-05,179244877.0
1987-01-12,179282768.05769232
1987-01-19,179320659.1153846
1987-01-26,179358550.17307693
1987-02-02,179396441.23076922
1987-02-09,179434332.28846154
1987-02-16,179472223.34615386
1987-02-23,179510114.40384614
1987-03-02,179548005.46153846
1987-03-09,179585896.51923078
1987-03-16,179623787.57692307
1987-03-23,179661678.6346154
1987-03-30,179699569.69230768
1987-04-06,179737460.75
1987-04-13,179775351.80769232
1987-04-20,179813242.8653846
1987-04-27,179851133.92307693
1987-05-04,179889024.98076922
1987-05-11,179926916.03846154
1987-05-18,179964807.09615386
1987-05-25,180002698.15384614
1987-06-01,180040589.21153846
1987-06-08,180078480.26923078
1987-06-15,180116371.32692307
1987-06-22,180154262.3846154
1987-06-29,180192153.44230768
1987-07-06,180230044.5
1987-07-13,180267935.55769232
1987-07-20,180305826.6153846
1987-07-27,180343717.67307693
1987-08-03,180381608.73076922
1987-08-10,180419499.78846154
1987-08-17,180457390.84615386
1987-08-24,180495281.90384614
1987-08-31,180533172.96153846
1987-09-07,180571064.01923078
1987-09-14,180608955.07692307
1987-09-21,180646846.1346154
1987-09-28,180684737.19230768
1987-10-05,180722628.25
1987-10-12,180760519.30769232
1987-10-19,180798410.3653846
1987-10-26,180836301.42307693
1987-11-02,180874192.48076922
1987-11-09,180912083.53846154
1987-11-16,180949974.59615386
1987-11-23,180987865.65384614
1987-11-30,181025756.71153846
1987-12-07,181063647.76923078
