MSN,YYYYMM,Value,Column_Order,Description,Unit
CLTCPUS,200905,75264.05,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,200906,83826.921,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,200907,89133.755,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,200908,91730.842,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,200909,78756.705,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,200910,80034.899,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,200911,78501.9,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,200912,93826.234,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201001,96493.761,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201002,86001.06,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201003,82444.118,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201004,72790.215,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201005,81570.459,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201006,92983.42,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201007,100582.163,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201008,100393.037,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201009,85385.77,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201010,76590.832,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201011,78697.159,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201012,94581.723,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201101,96303.081,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201102,79576.763,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201103,78766.962,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201104,72497.188,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201105,79098.326,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201106,89651.825,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201107,99618.148,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201108,97762.441,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201109,82341.004,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201110,75260.839,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201111,72706.918,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201112,79364.672,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201201,76291.6,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201202,68466.207,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201203,63074.891,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201204,56898.617,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201205,68014.705,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201206,76642.097,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201207,91587.644,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201208,87918.693,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201209,74477.409,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201210,71773.73,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201211,75318.703,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201212,78720.825,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201301,80587.134,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201302,72485.533,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201303,75914.288,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201304,65959.613,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201305,69885.357,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201306,80169.252,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201307,88299.204,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201308,87155.789,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201309,77901.622,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201310,71824.198,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201311,71439.212,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201312,82820.614,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201401,89062.794,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201402,81580.981,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201403,77685.495,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201404,63209.565,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201405,69184.695,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201406,79487.082,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201407,86802.295,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201408,86357.128,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201409,74293.549,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201410,66493.941,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201411,70154.743,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201412,73419.21,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201501,76894.69,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201502,72317.599,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201503,63559.966,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201504,53207.419,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201505,61923.19,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201506,73844.88,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201507,81448.949,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201508,78574.441,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201509,69369.492,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201510,58404.552,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201511,53639.953,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201512,54929.549,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201601,66662.224,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201602,55210.717,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201603,44574.606,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201604,43383.704,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201605,49342.933,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201606,67551.229,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201607,78568.539,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201608,78174.536,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201609,66614.898,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201610,58952.703,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201611,52533.242,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201612,69501.358,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201701,68005.594,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201702,52380.924,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201703,53325.237,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201704,48565.447,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201705,55201.684,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201706,63098.547,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201707,74213.784,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201708,70229.13,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201709,59039.437,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201710,54435.842,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201711,55357.275,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201712,63002.781,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201801,69253.774,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201802,50024.953,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201803,48869.909,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201804,44793.442,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201805,51573.59,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201806,60239.976,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201807,68083.151,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201808,67976.37,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201809,58159.414,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201810,52811.207,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201811,56170.449,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201812,60149.091,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201901,60198.764,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201902,49199.764,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201903,48345.744,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201904,37282.224,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201905,44060.166,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201906,48267.03,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201907,59801.968,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201908,56310.342,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201909,51112.886,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201910,41517.246,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201911,45868.741,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,201912,44574.382,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,202001,40715.045,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,202002,35981.681,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,202003,32798.863,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,202004,26703.504,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,202005,29821.684,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,202006,39837.864,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,202007,52932.595,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,202008,53635.454,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,202009,41832.812,12,"Coal Consumption, Total",Thousand Short Tons
CLTCPUS,202010,37576.269,12,"Coal Consumption, Total",Thousand Short Tons
