Date,Open,High,Low,Close,Volume
10/27/2017,398.46,412.37,398.46,412.37,0
10/20/2017,398.72,398.72,395.82,397.95,0
10/13/2017,399.06,405.46,399.06,399.74,0
10/06/2017,387.12,399.06,387.12,399.06,0
09/29/2017,390.53,393.34,387.29,393.34,0
09/22/2017,385.49,400.77,385.49,400.77,0
09/15/2017,373.62,385.07,373.52,385.07,0
09/08/2017,356.4,370.07,356.4,370.07,0
09/01/2017,369.88,369.88,358.87,358.87,0
08/25/2017,361.26,367.66,361.26,364.93,0
08/18/2017,363.82,372.18,361.43,361.43,0
08/11/2017,379.27,379.27,363.82,366.55,0
08/04/2017,382.08,391.89,382.08,389.42,0
07/28/2017,390.44,390.44,383.7,383.7,0
07/21/2017,404.86,405.72,398.89,400.68,0
07/14/2017,388.21,404.69,388.21,404.69,0
07/07/2017,395.05,395.05,387.54,391.72,0
06/30/2017,403.67,403.67,392.58,396.93,0
06/23/2017,396.25,396.25,390.02,393.43,0
06/16/2017,414.85,414.85,401.02,403.33,0
06/09/2017,430.72,430.72,421.84,422.7,0
06/02/2017,409.04,430.2,409.04,430.2,0
05/26/2017,416.47,416.47,405.97,405.97,0
05/19/2017,405.46,413.14,403.58,413.14,0
05/12/2017,429.91,429.91,408.45,415.61,0
05/05/2017,423.63,448.12,423.63,437.88,0
04/28/2017,391.98,423.29,391.98,423.29,0
04/21/2017,394.45,398.29,394.45,398.29,0
04/13/2017,383.28,391.47,383.28,391.47,0
04/07/2017,377.82,381.57,373.04,381.57,0
03/31/2017,380.38,381.74,378.41,378.41,0
03/24/2017,374.74,388.31,374.74,385.15,0
03/17/2017,368.94,374.32,364.85,374.32,0
03/10/2017,394.37,394.37,373.79,373.79,0
03/03/2017,394.2,402.47,394.2,395.82,0
02/24/2017,393.52,397.7,392.32,392.32,0
02/17/2017,384.04,392.24,384.04,392.24,0
02/10/2017,394.62,397.61,386.18,386.18,0
02/03/2017,391.89,394.62,388.05,394.62,0
01/27/2017,406.74,406.74,400.43,400.43,0
01/20/2017,406.14,409.13,406.06,406.06,0
01/13/2017,397.32,407.35,397.32,402.47,0
01/06/2017,392.06,394.8,391.89,391.89,0
12/30/2016,395.9,402.56,395.9,396.08,0
12/23/2016,395.65,398.63,394.2,396.93,0
12/16/2016,385.49,393.69,385.49,393.69,0
12/09/2016,371.93,379.01,371.93,377.22,0
12/02/2016,378.92,382.08,371.59,371.59,0
11/25/2016,373.98,382.94,373.98,382.94,0
11/18/2016,363.57,371.5,363.57,371.5,0
11/11/2016,347.71,362.8,347.71,362.8,0
11/04/2016,352.65,360.15,350.6,350.6,0
10/28/2016,355.8,358.87,354.61,356.14,0
10/21/2016,337.88,347.7,331.48,347.7,0
10/14/2016,341.47,341.47,328.24,332.59,0
10/07/2016,341.21,351.88,341.21,351.71,0
09/30/2016,362.2,362.2,341.72,341.72,0
09/23/2016,366.38,369.8,364.68,364.68,0
09/16/2016,362.85,368.77,360.39,368.77,0
09/09/2016,341.38,357,341.38,357,0
09/02/2016,358.62,366.81,346.76,346.76,0
08/26/2016,376.62,376.62,362.97,362.97,0
08/19/2016,388.99,388.99,376.28,376.28,0
08/12/2016,391.3,392.49,390.87,390.87,0
08/05/2016,389.33,394.28,389.33,394.28,0
07/29/2016,379.1,385.84,379.1,381.31,0
07/22/2016,377.56,377.56,360.75,368.86,0
07/15/2016,373.19,382.51,371.67,374.91,0
07/08/2016,387.88,387.88,381.57,383.09,0
07/01/2016,382.34,391.89,382.34,385.58,0
06/24/2016,376.28,388.57,376.28,378.41,0
06/17/2016,390.27,392.49,384.13,384.13,0
06/10/2016,397.78,405.63,395.9,400.51,0
06/03/2016,402.9,402.9,400.85,402.05,0
05/27/2016,390.61,397.35,386.26,397.35,0
05/20/2016,407.76,409.39,400.85,400.85,0
05/13/2016,415.73,415.73,405.2,405.2,0
05/06/2016,395.22,410.1,395.22,410.1,0
04/29/2016,397.95,405.29,391.81,392.24,0
04/22/2016,406.74,406.74,391.3,391.3,0
04/15/2016,420.56,420.56,415.44,416.98,0
04/08/2016,422.1,423.29,412.12,423.29,0
04/01/2016,428.41,428.41,420.05,421.76,0
03/24/2016,436.35,436.35,426.96,427.9,0
03/18/2016,439.68,446.25,439.68,440.61,0
03/11/2016,457.25,457.25,438.74,438.74,0
03/04/2016,467.49,467.92,462.29,465.36,0
02/26/2016,459.47,468.77,459.47,467.58,0
02/19/2016,450.94,458.62,450.94,457.17,0
02/12/2016,448.46,449.83,440.7,440.7,0
02/05/2016,458.79,463.31,458.7,458.7,0
01/29/2016,451.28,461.6,451.28,457.34,0
01/22/2016,444.2,454.18,437.46,454.18,0
01/15/2016,452.41,453.38,438.57,438.57,0
01/08/2016,465.61,466.81,454.15,454.15,0
12/31/2015,464.68,466.89,462.46,466.89,0
12/24/2015,443.77,467.66,443.77,467.66,0
12/18/2015,424.57,428.41,418.17,428.41,0
12/11/2015,433.96,433.96,423.72,430.89,0
12/04/2015,451.71,459.47,441.04,441.04,0
11/27/2015,458.02,458.02,452.22,456.83,0
11/20/2015,442.49,454.35,442.49,450.6,0
11/13/2015,451.77,461.52,442.06,452.73,0
11/06/2015,483.53,483.53,458.7,462.01,0
10/30/2015,484.64,490.1,479.86,483.7,0
10/23/2015,483.45,490.61,483.45,489.42,0
10/16/2015,469.54,475.85,466.04,475.85,0
10/09/2015,444.45,469.88,444.45,468.69,0
10/02/2015,468.09,468.09,443.69,448.38,0
09/25/2015,476.96,476.96,457.34,467.58,0
09/18/2015,488.65,488.65,472.27,472.27,0
09/11/2015,489.68,491.47,484.71,484.71,0
09/04/2015,488.74,488.74,479.44,479.44,0
