DATE,TOTALSA
2003-10-12,18.95395165081805
2003-10-19,17.077265598700404
2003-10-26,15.718806140519659
2003-11-02,19.90269334164786
2003-11-09,17.677040359783565
2003-11-16,17.276931834227817
2003-11-23,18.04922248996192
2003-11-30,16.97732479565527
2003-12-07,16.428275468385838
2003-12-14,17.624060409005974
2003-12-21,16.46855401236769
2003-12-28,18.83269353281477
2004-01-04,16.264909303549974
2004-01-11,15.265302155431817
2004-01-18,17.87367828104
2004-01-25,16.29358201624457
2004-02-01,19.412580054482742
2004-02-08,15.358893959726153
2004-02-15,16.468957262311665
2004-02-22,17.47250924324405
2004-02-29,17.733774344359503
2004-03-07,18.12401313495191
2004-03-14,17.076941756206086
2004-03-21,17.978093926538303
2004-03-28,17.311343371016417
2004-04-04,17.36212263136511
2004-04-11,15.534730664784652
2004-04-18,15.99660755278289
2004-04-25,16.897481853790005
2004-05-02,17.689809187795046
2004-05-09,17.631444482777493
2004-05-16,19.438640241404983
2004-05-23,16.486280004107297
2004-05-30,18.447197520254385
2004-06-06,15.148546711244586
2004-06-13,17.362726243733125
2004-06-20,15.793790540070479
2004-06-27,14.7494445073997
2004-07-04,18.2742666926608
2004-07-11,17.365074279847782
2004-07-18,16.74470338271203
2004-07-25,16.59028876505656
