,Value
2019-06-09,49606.92482818036
2019-06-16,36729.78985436222
2019-06-23,34178.717529957554
2019-06-30,60599.03161137349
2019-07-07,65466.0433683735
2019-07-14,50741.51593996735
2019-07-21,61864.84027661763
2019-07-28,56936.09624599352
2019-08-04,55734.172559504295
2019-08-11,45827.010374480706
2019-08-18,60740.236834233314
2019-08-25,73227.2484470591
2019-09-01,54570.74146153414
2019-09-08,55187.18454226025
2019-09-15,59366.54411693937
2019-09-22,52367.92047343174
2019-09-29,65268.76840818593
2019-10-06,30804.434616108818
2019-10-13,43079.35374440791
2019-10-20,48906.64347777056
2019-10-27,40890.41428707395
2019-11-03,36835.30379312542
2019-11-10,52566.664616976945
2019-11-17,47733.46611067034
2019-11-24,43598.996770010745
2019-12-01,43325.23094386314
2019-12-08,39751.66796122572
2019-12-15,48847.79099124504
2019-12-22,50008.885420369144
2019-12-29,49428.07791237103
