Date,Open,High,Low,Close,Adj Close,Volume
2020-06-08,15.030000,15.110000,13.770000,14.120000,14.057742,214400
2020-06-15,13.680000,14.770000,13.640000,14.348000,14.284737,86400
2020-06-22,14.650000,14.710000,14.000000,14.032000,13.970130,123300
2020-06-29,14.020000,14.900000,13.950000,14.762000,14.696913,87400
2020-07-06,15.130000,15.500000,15.043000,15.480000,15.466859,155600
2020-07-13,15.850000,15.999000,15.130000,15.785000,15.771600,147500
2020-07-20,15.880000,16.250000,15.412000,15.560000,15.546792,149500
2020-07-27,15.640000,15.900000,15.314000,15.480000,15.466859,144800
2020-08-03,15.700000,16.368000,15.700000,16.200001,16.186249,269700
2020-08-10,16.299999,16.889999,16.299999,16.610001,16.595901,363400
2020-08-17,16.740000,16.879999,16.444000,16.549999,16.535950,233800
2020-08-24,16.840000,17.350000,16.670000,17.330000,17.315289,444800
2020-08-31,17.400000,17.850000,16.500000,17.080999,17.066500,649700
2020-09-07,16.740000,17.100000,16.530001,16.680000,16.665840,243300
2020-09-14,16.959999,17.459999,16.881001,17.100000,17.085484,272100
2020-09-21,16.740000,16.740000,15.850000,16.285999,16.272175,350200
2020-09-28,16.650000,17.180000,16.580000,17.010000,16.995560,326300
2020-10-05,17.100000,18.150000,17.100000,18.093000,18.077641,650800
2020-10-12,18.260000,18.309999,17.840000,18.150000,18.134592,404000
2020-10-19,18.200001,18.299000,17.929001,18.240000,18.224516,291600
2020-10-26,18.070000,18.120001,17.200001,17.415001,17.400217,349700
2020-11-02,17.700001,19.370001,17.586000,19.340000,19.323582,836700
2020-11-09,20.340000,20.379999,19.500000,20.230000,20.212826,1044700
2020-11-16,20.700001,21.299999,20.461000,20.980000,20.962191,1491300
2020-11-23,21.330000,22.360001,21.330000,22.100000,22.081240,2086100
2020-11-30,22.350000,22.870001,21.580000,22.850000,22.830603,1919900
2020-12-07,23.075001,23.410000,22.400000,22.559999,22.540848,2436600
2020-12-14,22.870001,23.500000,22.680000,23.290001,23.270229,1671200
2020-12-21,23.110001,23.700001,22.844999,23.600000,23.579967,1532700
2020-12-28,24.010000,24.200001,23.379999,23.969999,23.949652,1808300
2021-01-04,24.344999,27.049999,23.799999,26.500000,26.500000,6815700
2021-01-11,26.219999,27.230000,26.000000,26.400000,26.400000,6164000
2021-01-18,26.943001,27.900000,26.840000,27.760000,27.760000,12269400
2021-01-25,28.209999,28.250000,26.605000,26.889999,26.889999,5528000
