Date,Price,Open,High,Low,Vol.,Change %
28-Jun-15,56.93,58.84,59.69,56.5,1.24M,-4.53%
21-Jun-15,59.63,59.44,61.57,58.76,1.13M,0.03%
14-Jun-15,59.61,59.9,61.38,58.73,1.20M,-0.58%
7-Jun-15,59.96,58.96,61.82,57.86,1.80M,1.40%
31-May-15,59.13,60.29,61.58,56.83,1.83M,-1.94%
24-May-15,60.3,60.05,60.7,56.51,1.44M,0.97%
17-May-15,59.72,59.85,60.94,57.09,1.02M,0.05%
10-May-15,59.69,59.43,61.85,58.42,1.74M,0.51%
3-May-15,59.39,59.3,62.58,58.14,1.90M,0.41%
26-Apr-15,59.15,57.3,59.9,56.07,1.53M,3.50%
19-Apr-15,57.15,56.16,58.41,54.85,1.22M,2.53%
12-Apr-15,55.74,51.81,57.42,51.47,1.96M,7.94%
5-Apr-15,51.64,49.47,54.13,49.47,2.27M,5.09%
29-Mar-15,49.14,48.57,50.45,47.05,1.63M,0.55%
22-Mar-15,48.87,46.41,52.48,45.33,1.90M,6.89%
15-Mar-15,45.72,44.81,46.53,42.03,1.06M,1.96%
8-Mar-15,44.84,49.6,50.79,44.75,1.96M,-9.61%
1-Mar-15,49.61,49.45,52.4,48.71,2.04M,-0.30%
22-Feb-15,49.76,50.75,51.28,47.8,2.06M,-1.15%
15-Feb-15,50.34,52.75,54.15,49.15,932.15K,-4.62%
8-Feb-15,52.78,52.01,53.99,48.05,2.56M,2.11%
1-Feb-15,51.69,47.59,54.24,46.67,2.92M,7.15%
25-Jan-15,48.24,45.2,48.35,43.58,1.74M,5.81%
18-Jan-15,45.59,48.69,49.09,45.21,1.19M,-6.37%
11-Jan-15,48.69,48.19,51.27,44.2,2.04M,0.68%
4-Jan-15,48.36,52.61,52.73,46.83,2.07M,-8.22%
28-Dec-14,52.69,55.05,55.74,52.03,962.16K,-3.73%
21-Dec-14,54.73,57.75,58.53,54.51,853.49K,-3.17%
14-Dec-14,56.52,57.07,58.98,53.6,1.43M,-2.23%
7-Dec-14,57.81,65.46,65.55,57.34,1.92M,-12.20%
30-Nov-14,65.84,66,69.54,63.72,1.67M,-0.47%
23-Nov-14,66.15,76.62,77.02,65.69,1.30M,-13.54%
16-Nov-14,76.51,75.93,77.83,73.88,885.52K,0.91%
9-Nov-14,75.82,78.5,79.85,73.25,1.80M,-3.60%
2-Nov-14,78.65,80.59,80.98,75.84,1.87M,-2.35%
26-Oct-14,80.54,81.27,82.88,79.44,1.36M,-0.58%
19-Oct-14,81.01,83.13,84.05,80.05,1.09M,-2.10%
12-Oct-14,82.75,85.2,85.87,79.78,1.85M,-3.58%
5-Oct-14,85.82,89.77,90.74,83.59,1.69M,-4.37%
28-Sep-14,89.74,93.35,94.9,88.18,1.87M,-4.06%
21-Sep-14,93.54,92.22,93.86,90.58,1.06M,1.22%
14-Sep-14,92.41,92.13,95.19,90.63,1.12M,0.15%
7-Sep-14,92.27,93.49,93.94,90.43,1.55M,-1.09%
31-Aug-14,93.29,95.81,95.91,92.68,1.13M,-2.78%
24-Aug-14,95.96,93.34,96,93.05,985.87K,2.47%
17-Aug-14,93.65,97.1,97.16,92.5,707.27K,-3.80%
10-Aug-14,97.35,97.54,98.58,95.26,1.36M,-0.31%
3-Aug-14,97.65,97.67,98.67,96.55,1.26M,-0.23%
27-Jul-14,97.88,101.87,102.1,97.09,1.33M,-4.12%
20-Jul-14,102.09,102.97,105.25,101,910.15K,-1.01%
13-Jul-14,103.13,100.46,103.94,99.01,1.34M,2.28%
6-Jul-14,100.83,104.06,104.2,100.44,1.20M,-3.10%
29-Jun-14,104.06,105.69,106.09,103.67,847.02K,-1.59%
22-Jun-14,105.74,107.42,107.5,105.03,924.44K,-1.42%
15-Jun-14,107.26,106.88,107.73,105.32,788.81K,0.33%
8-Jun-14,106.91,102.78,107.68,102.62,1.27M,4.14%
1-Jun-14,102.66,102.92,103.69,101.6,925.95K,-0.05%
25-May-14,102.71,104.34,104.5,102.4,788.76K,-1.57%
18-May-14,104.35,102.13,104.5,101.97,761.30K,2.28%
11-May-14,102.02,100.12,102.65,99.93,1.12M,2.03%
4-May-14,99.99,99.96,101.18,98.91,1.26M,0.23%
27-Apr-14,99.76,100.49,102.2,98.74,1.18M,-0.83%
20-Apr-14,100.6,104.54,104.77,100.48,836.11K,-3.55%
13-Apr-14,104.3,103.56,104.99,102.91,923.80K,0.54%
6-Apr-14,103.74,100.91,104.44,99.92,1.36M,2.57%
30-Mar-14,101.14,101.69,101.97,98.86,1.03M,-0.52%
23-Mar-14,101.67,99.49,102.24,98.8,948.62K,2.22%
16-Mar-14,99.46,99.39,100.82,97.37,755.38K,0.58%
9-Mar-14,98.89,102.75,102.82,97.55,1.43M,-3.60%
2-Mar-14,102.58,103,105.22,100.13,1.29M,-0.01%
23-Feb-14,102.59,102.29,103.45,101.02,936.36K,0.38%
16-Feb-14,102.2,100.32,103.8,100.23,503.06K,1.89%
9-Feb-14,100.3,100.05,101.38,99.11,1.26M,0.42%
2-Feb-14,99.88,97.4,100.24,96.26,1.24M,2.45%
26-Jan-14,97.49,96.9,98.59,95.21,1.09M,0.88%
